"","Trait","n","Source","Species"
"1","Days to flowering",6,"Collected","Barley"
"2","Growth class (seasonality)",5,"Collected","Barley"
"3","Growth habit",5,"Collected","Barley"
"4","Photoperiod sensitivity",5,"Non-Collected","Barley"
"5","1000 Kernel weight (g)",4,"Collected","Barley"
"6","Drought susceptibility",4,"Non-Collected","Barley"
"7","Plant height",3,"Collected","Barley"
"8","Grain/pericarp colour",2,"Collected","Barley"
"9","Lodging",2,"Collected","Barley"
"10","Row number/lateral florets",2,"Collected","Barley"
"11","Aleurone colour",2,"Non-Collected","Barley"
"12","Blotch susceptibility",2,"Non-Collected","Barley"
"13","Kernel plumpness",2,"Non-Collected","Barley"
"14","PM susceptibility",2,"Non-Collected","Barley"
"15","Head loss",2,"Others","Barley"
"16","Head/Seed image",1,"Collected","Barley"
"17","Plant establishment",1,"Collected","Barley"
"18","Spike density",1,"Collected","Barley"
"19","Awn colour",1,"Non-Collected","Barley"
"20","Number of spikelet groups/spike",1,"Non-Collected","Barley"
"21","Scald susceptibility",1,"Non-Collected","Barley"
"22","YR susceptibility",1,"Non-Collected","Barley"
"23","Abiotic allelles",1,"Others","Barley"
"24","Disease allelles",1,"Others","Barley"
"25","Malting traits",1,"Others","Barley"
"26","Oss",1,"Others","Barley"
"27","Days to flower",11,"Collected","Wheat"
"28","Daylength sensitivity",10,"Non-Collected","Wheat"
"29","1000 Seed weight (g)",9,"Collected","Wheat"
"30","Biotic stress traits (1)",8,"Non-Collected","Wheat"
"31","Awnedness",7,"Collected","Wheat"
"32","Growth class (seasonality)",7,"Collected","Wheat"
"33","Seed size",6,"Non-Collected","Wheat"
"34","Plant height [cm]",5,"Collected","Wheat"
"35","Growth habit (structural)",4,"Collected","Wheat"
"36","No. seeds/spikelet",4,"Non-Collected","Wheat"
"37","No. spikelets/spike",4,"Non-Collected","Wheat"
"38","Seed colour",3,"Collected","Wheat"
"39","Abiotic stress traits (2)",3,"Non-Collected","Wheat"
"40","Tillering",3,"Non-Collected","Wheat"
"41","Spike density",2,"Collected","Wheat"
"42","Lma",2,"Others","Wheat"
"43","Emergence",1,"Collected","Wheat"
"44","Glume colour",1,"Collected","Wheat"
"45","Glume hairiness",1,"Collected","Wheat"
"46","Lodging",1,"Collected","Wheat"
"47","Seed vitreousness",1,"Non-Collected","Wheat"
"48","Abiotic allelles for heat and drought",1,"Others","Wheat"
"49","Disease allelles",1,"Others","Wheat"
"50","Glutenin allele subunits",1,"Others","Wheat"
"51","Height allelles",1,"Others","Wheat"
"52","Preharvest",1,"Others","Wheat"
"53","Preharvest sprouting",1,"Others","Wheat"
"54","Spike length",1,"Others","Wheat"
"55","Vrn alleles",1,"Others","Wheat"
"56","Wheat powdery mildew",1,"Others","Wheat"
"57","Days to 50% flowering",8,"Collected","Lentil"
"58","100 Seed weight (g)",6,"Collected","Lentil"
"59","Emergence",4,"Collected","Lentil"
"60","Seed image",3,"Collected","Lentil"
"61","Seed size",3,"Collected","Lentil"
"62","Biotic Stress Suseptibility",3,"Non-Collected","Lentil"
"63","Days to maturity",3,"Non-Collected","Lentil"
"64","Growth habit",3,"Non-Collected","Lentil"
"65","Plant height (cm)",3,"Non-Collected","Lentil"
"66","Ground colour seed testa",2,"Collected","Lentil"
"67","Cotyledon colour",2,"Non-Collected","Lentil"
"68","Height of lowest pod (cm)",2,"Non-Collected","Lentil"
"69","Lodging",2,"Non-Collected","Lentil"
"70","Flower ground colour",1,"Collected","Lentil"
"71","Pattern of seed testa",1,"Collected","Lentil"
"72","Harvest Index (%)",1,"Non-Collected","Lentil"
"73","Leaflet size",1,"Non-Collected","Lentil"
